rollout/return,rollout/episode_steps,param_noise_stddev,train/loss_critic,train/loss_actor,reference_perturbed_action_std,AI_success_rate,AI_distance,total/epochs,reference_Q_std,train/param_noise_distance,total/duration,total/episodes,reference_Q_mean,obs_rms_std,rollout/episodes,rollout/Q_mean,reference_perturbed_action_mean,total/steps,reference_action_std,obs_rms_mean,total/steps_per_second,AI_return,rollout/actions_std,reference_actor_Q_mean,reference_actor_Q_std,rollout/return_history,rollout/actions_mean,reference_action_mean
-497.47381637043907,84.66108374384237,0.0030623371783898953,426.5545654296875,-26.906160354614258,0.9031587839126587,0.0009852216748768472,12.64449770318902,43,150.29849243164062,0.2022254529595375,1288.6136891841888,1015.0,-188.51528930664062,0.12813957035541534,1015.0,-55.7205810546875,0.34620851278305054,86000,0.894995927810669,nan,66.73838771218232,-497.47381637043907,0.8383270502090454,-181.06427001953125,152.51014709472656,-505.6546214319735,0.3548874258995056,0.349300742149353
-502.2556779412416,85.54571984435798,0.0026641199455570913,264.17449951171875,-18.172985076904297,0.9088408946990967,0.0009727626459143969,12.636800872493852,44,143.9344940185547,0.2001060152053833,1319.821804523468,1028.0,-199.47198486328125,0.12793362140655518,1028.0,-50.8349723815918,0.2972354590892792,88000,0.8914022445678711,nan,66.67566765331104,-502.2556779412416,0.8389080166816711,-191.36422729492188,145.9852294921875,-567.2830186821324,0.35184016823768616,0.33388203382492065
-497.34812398252586,85.59714285714286,0.002828017005826892,400.99835205078125,-17.51573371887207,0.8608022928237915,0.0009523809523809524,12.643593058550376,45,140.3831787109375,0.19204601526260376,1351.134420633316,1050.0,-199.44711303710938,0.1278594583272934,1050.0,-48.0095329284668,0.36584433913230896,90000,0.8845012187957764,nan,66.61069293003014,-497.34812398252586,0.8393810391426086,-191.408447265625,142.8607635498047,-542.8420404939052,0.3493105471134186,0.33267951011657715
-497.52705035830417,85.36558139534884,0.002717668756462789,523.7378540039062,-21.1898250579834,0.9121258854866028,0.0009302325581395349,12.681260561445049,46,144.8140106201172,0.2107318249344826,1382.6377046108246,1075.0,-196.4376983642578,0.12775136530399323,1075.0,-46.506256103515625,0.20839053392410278,92000,0.8869428634643555,nan,66.5394844167768,-497.52705035830417,0.8391675353050232,-186.98330688476562,147.94642639160156,-515.8951342700144,0.34704673290252686,0.29696953296661377
-489.61248797278034,85.97072278133577,0.0026641199455570913,452.4197692871094,-16.764083862304688,0.9151517748832703,0.0009149130832570906,12.647083688886045,47,146.69325256347656,0.20414034232497216,1415.0207476615906,1093.0,-188.05587768554688,0.12769222259521484,1093.0,-43.43382263183594,0.2319762110710144,94000,0.8606777787208557,nan,66.43012136418552,-489.61248797278034,0.8393193483352661,-176.86717224121094,151.06884765625,-401.99742740925825,0.3466279208660126,0.3569941520690918
-490.1371821838188,85.83706356311549,0.0030019970379275515,650.7849731445312,-36.199913024902344,0.8870113492012024,0.0008952551477170994,12.67358775048563,48,152.3474578857422,0.2025224232673645,1446.266123533249,1117.0,-182.7344970703125,0.1275857537984848,1117.0,-40.659114837646484,0.28254225850105286,96000,0.9033331274986267,nan,66.37782524109092,-490.1371821838188,0.8395061492919922,-172.8016357421875,155.4498748779297,-383.5847142748598,0.34625932574272156,0.2611521780490875
-486.3326121296103,85.67804024496938,0.002942845836611657,749.8861694335938,-38.946407318115234,0.8998129963874817,0.0008748906386701663,12.663708437299482,49,148.43101501464844,0.20223163589835166,1477.4549369812012,1143.0,-179.94259643554688,0.12738628685474396,1143.0,-39.43280792236328,0.27316904067993164,98000,0.8971473574638367,nan,66.33028023192219,-486.3326121296103,0.8398189544677734,-170.73768615722656,150.45616149902344,-361.40712380686193,0.345357745885849,0.34146881103515625
-483.5311462106663,85.14786324786324,0.0030623371783898953,434.2046813964844,-45.38710021972656,0.9259133338928223,0.0008547008547008547,12.699046145895968,50,155.60818481445312,0.20759163841605185,1509.0480952262878,1170.0,-184.79788208007812,0.12728478014469147,1170.0,-36.185546875,0.23184111714363098,100000,0.8589446544647217,nan,66.26694027601857,-483.5311462106663,0.8401557207107544,-175.55062866210938,157.16201782226562,-338.12695987286725,0.34570878744125366,0.4368312358856201
-484.8258455901124,85.2700668896321,0.0026641199455570913,499.0366516113281,-56.03608703613281,0.853983461856842,0.0008361204013377926,12.693368526780901,51,154.18731689453125,0.20984698355197906,1540.3729057312012,1196.0,-180.8686065673828,0.12724898755550385,1196.0,-31.20986557006836,0.38169294595718384,102000,0.8755135536193848,nan,66.2177318365526,-484.8258455901124,0.8407821655273438,-171.79498291015625,156.4730682373047,-440.6958595089345,0.34497952461242676,0.35312420129776
-484.84588298167347,85.97847682119205,0.002884860147644012,579.8827514648438,-66.06293487548828,0.898610532283783,0.0008278145695364238,12.66462159034229,52,157.7434539794922,0.19724082589149475,1572.447542667389,1208.0,-169.027587890625,0.12702576816082,1208.0,-27.286968231201172,0.25014728307724,104000,0.8760949373245239,nan,66.13893130169656,-484.84588298167347,0.8400084972381592,-159.37005615234375,161.14340209960938,-451.46653458206305,0.34493520855903625,0.28338614106178284
